certificateOfSale,parcel,saleDate
2022-C-000552,CERTIFIED,05/18/2023
2022-C-000553,CERTIFIED,05/18/2023
2022-C-000554,CERTIFIED,05/18/2023
2022-C-000555,CERTIFIED,05/18/2023
2022-C-000556,CERTIFIED,05/18/2023
2022-C-000558,CERTIFIED,05/18/2023
2022-C-000559,CERTIFIED,05/18/2023
2022-C-000560,REDEEMED,
2022-C-000561,REDEEMED,
2022-C-000562,CERTIFIED,05/18/2023
2022-C-000563,CERTIFIED,05/18/2023
2022-C-000564,CERTIFIED,05/18/2023
2022-C-000565,REDEEMED,
2022-C-000566,CERTIFIED,05/18/2023
2022-C-000567,REDEEMED,
2022-C-000568,CERTIFIED,05/18/2023
2022-C-000569,CERTIFIED,05/18/2023
2022-C-000570,CERTIFIED,05/18/2023
2022-C-000571,REDEEMED,
2022-C-000572,CERTIFIED,05/18/2023
2022-C-000573,REDEEMED,
2022-C-000574,REDEEMED,
2022-C-000575,CERTIFIED,05/18/2023
2022-C-000576,CERTIFIED,05/18/2023
2022-C-000577,CERTIFIED,05/18/2023
2022-C-000578,CERTIFIED,05/18/2023
2022-C-000579,CERTIFIED,05/18/2023
2022-C-000580,CERTIFIED,05/18/2023
2022-C-000581,CERTIFIED,05/18/2023
2022-C-000582,CERTIFIED,05/18/2023
2022-C-000583,CERTIFIED,05/18/2023
2022-C-000584,CERTIFIED,05/18/2023
2022-C-000585,CERTIFIED,05/18/2023
2022-C-000586,CERTIFIED,05/18/2023
2022-C-000587,CERTIFIED,05/18/2023
2022-C-000588,CERTIFIED,05/18/2023
2022-C-000589,REDEEMED,
2022-C-000590,CERTIFIED,05/18/2023
2022-C-000591,CERTIFIED,05/18/2023
2022-C-000592,CERTIFIED,05/18/2023
2022-C-000593,REDEEMED,
2022-C-000594,REDEEMED,
2022-C-000595,REDEEMED,
2022-C-000596,CERTIFIED,05/18/2023
2022-C-000597,CERTIFIED,05/18/2023
2022-C-000598,CERTIFIED,05/18/2023
2022-C-000599,REDEEMED,
2022-C-000600,CERTIFIED,05/18/2023
2022-C-000601,CERTIFIED,05/18/2023
2022-C-000602,CERTIFIED,05/18/2023
2022-C-000603,CERTIFIED,05/18/2023
2022-C-000604,CERTIFIED,05/18/2023
2022-C-000605,CERTIFIED,05/18/2023
2022-C-000606,CERTIFIED,05/18/2023
2022-C-000607,CERTIFIED,05/18/2023
2022-C-000608,REDEEMED,
2022-C-000609,REDEEMED,
2022-C-000610,CERTIFIED,05/18/2023
2022-C-000611,CERTIFIED,05/18/2023
2022-C-000612,CERTIFIED,05/18/2023
2022-C-000613,CERTIFIED,05/18/2023
2022-C-000614,CERTIFIED,05/18/2023
2022-C-000615,CERTIFIED,05/18/2023
2022-C-000616,CERTIFIED,05/18/2023
2022-C-000617,CERTIFIED,05/18/2023
2022-C-000618,CERTIFIED,05/18/2023
2022-C-000619,CERTIFIED,05/18/2023
2022-C-000620,REDEEMED,
2022-C-000621,REDEEMED,
2022-C-000622,CERTIFIED,05/18/2023
2022-C-000623,CERTIFIED,05/18/2023
2022-C-000624,CERTIFIED,05/18/2023
2022-C-000625,CERTIFIED,05/18/2023
2022-C-000626,REDEEMED,
2022-C-000627,CERTIFIED,05/18/2023
2022-C-000628,CERTIFIED,05/18/2023
2022-C-000629,CERTIFIED,05/18/2023
2022-C-000630,CERTIFIED,05/18/2023
2022-C-000631,CERTIFIED,05/18/2023
2022-C-000632,CERTIFIED,05/18/2023
2022-C-000633,CERTIFIED,05/18/2023
2022-C-000634,CERTIFIED,05/18/2023
2022-C-000635,CERTIFIED,05/18/2023
2022-C-000636,CERTIFIED,05/18/2023
2022-C-000637,CERTIFIED,05/18/2023
2022-C-000638,CERTIFIED,05/18/2023
2022-C-000641,REDEEMED,
2022-C-000642,CERTIFIED,05/18/2023
2022-C-000643,CERTIFIED,05/18/2023
2022-C-000644,CERTIFIED,05/18/2023
2022-C-000645,REDEEMED,
2022-C-000646,CERTIFIED,05/18/2023
2022-C-000647,REDEEMED,
2022-C-000648,REDEEMED,
2022-C-000649,REDEEMED,
2022-C-000650,CERTIFIED,05/18/2023
2022-C-000651,CERTIFIED,05/18/2023
2022-C-000652,CERTIFIED,05/18/2023
2022-C-000653,CERTIFIED,05/18/2023
2022-C-000654,REDEEMED,
2022-C-000655,CERTIFIED,05/18/2023
2022-C-000656,CERTIFIED,05/18/2023
2022-C-000657,CERTIFIED,05/18/2023
2022-C-000658,CERTIFIED,05/18/2023
2022-C-000659,REDEEMED,
2022-C-000660,REDEEMED,
